pick_id,logged_date,match_date,league_code,league_name,home_team,away_team,sport,metric,scope,team,direction,line,confidence,label,status,actual_value,result,settled_date
football|Portsmouth|Blackburn|19/09/2026|corners|away|Over,2026-09-19,19/09/2026,E1,Championship,Portsmouth,Blackburn,football,corners,away,Blackburn,Over,2.5,0.986,Blackburn - Over 2.5 Corners,pending,,,
football|Hibernian|Aberdeen|19/09/2026|corners|match|Over,2026-09-19,19/09/2026,SC0,Scottish Premiership,Hibernian,Aberdeen,football,corners,match,,Over,8.5,0.986,Hibernian v Aberdeen - Over 8.5 Corners,pending,,,
football|Barnsley|Leicester|19/09/2026|second_half_goals|match|Over,2026-09-19,19/09/2026,E2,League One,Barnsley,Leicester,football,second_half_goals,match,,Over,0.5,0.984,Barnsley v Leicester - Over 0.5 2nd-Half Goals,pending,,,
football|Everton|Ipswich|19/09/2026|goals|match|Over,2026-09-19,19/09/2026,E0,Premier League,Everton,Ipswich,football,goals,match,,Over,1.5,0.983,Everton v Ipswich - Over 1.5 Goals,pending,,,
football|Barnet|Fleetwood Town|19/09/2026|cards|match|Over,2026-09-19,19/09/2026,E3,League Two,Barnet,Fleetwood Town,football,cards,match,,Over,2.5,0.983,Barnet v Fleetwood Town - Over 2.5 Cards,pending,,,
football|Stoke|Sheffield United|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E1,Championship,Stoke,Sheffield United,football,cards,away,Sheffield United,Over,0.5,0.982,Sheffield United - Over 0.5 Cards,pending,,,
football|Portsmouth|Blackburn|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E1,Championship,Portsmouth,Blackburn,football,cards,away,Blackburn,Over,0.5,0.982,Blackburn - Over 0.5 Cards,pending,,,
football|Newcastle|Hull|19/09/2026|cards|match|Over,2026-09-19,19/09/2026,E0,Premier League,Newcastle,Hull,football,cards,match,,Over,2.5,0.981,Newcastle v Hull - Over 2.5 Cards,pending,,,
football|Gillingham|Bristol Rvs|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E3,League Two,Gillingham,Bristol Rvs,football,cards,away,Bristol Rvs,Over,0.5,0.98,Bristol Rvs - Over 0.5 Cards,pending,,,
football|Hamburg|FC Koln|19/09/2026|corners|away|Over,2026-09-19,19/09/2026,D1,Bundesliga,Hamburg,FC Koln,football,corners,away,FC Koln,Over,2.5,0.98,FC Koln - Over 2.5 Corners,pending,,,
football|Luton|Bradford|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E2,League One,Luton,Bradford,football,cards,away,Bradford,Over,0.5,0.978,Bradford - Over 0.5 Cards,pending,,,
football|Gillingham|Bristol Rvs|19/09/2026|cards|match|Over,2026-09-19,19/09/2026,E3,League Two,Gillingham,Bristol Rvs,football,cards,match,,Over,2.5,0.978,Gillingham v Bristol Rvs - Over 2.5 Cards,pending,,,
