Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
F1,13/02/2026,20:05,Monaco,Nantes,3,1,H,3,1,H,,12,13,6,2,9,3,5,2,1,0,,,F1,2526
F1,14/02/2026,16:00,Marseille,Strasbourg,2,2,D,1,0,H,,10,12,6,4,5,5,4,2,0,0,,,F1,2526
F1,14/02/2026,18:00,Lille,Brest,1,1,D,0,0,D,,20,11,5,4,13,1,0,1,0,0,,,F1,2526
F1,14/02/2026,20:05,Paris FC,Lens,0,5,A,0,2,A,,11,17,6,6,3,5,2,1,0,0,,,F1,2526
F1,15/02/2026,14:00,Le Havre,Toulouse,2,1,H,1,1,D,,5,25,2,9,1,10,1,4,1,0,,,F1,2526
F1,15/02/2026,16:15,Lorient,Angers,2,0,H,1,0,H,,8,10,2,3,3,2,0,0,0,0,,,F1,2526
F1,15/02/2026,16:15,Metz,Auxerre,1,3,A,0,1,A,,13,14,4,3,4,3,2,3,0,0,,,F1,2526
F1,15/02/2026,19:45,Lyon,Nice,2,0,H,1,0,H,,9,10,2,3,8,5,3,1,0,0,,,F1,2526
F1,20/02/2026,19:45,Brest,Marseille,2,0,H,2,0,H,,12,17,4,4,3,2,1,4,0,0,,,F1,2526
F1,21/02/2026,16:00,Lens,Monaco,2,3,A,1,0,H,,18,10,7,5,7,2,2,1,0,0,,,F1,2526
F1,21/02/2026,18:00,Toulouse,Paris FC,1,1,D,0,1,A,,23,5,10,2,12,3,1,5,0,0,,,F1,2526
F1,21/02/2026,20:05,Paris SG,Metz,3,0,H,2,0,H,,17,3,7,0,4,1,0,2,0,0,,,F1,2526
F1,22/02/2026,14:00,Auxerre,Rennes,0,3,A,0,3,A,,11,12,2,7,4,5,1,4,0,0,,,F1,2526
F1,22/02/2026,16:15,Angers,Lille,0,1,A,0,1,A,,6,14,2,5,1,7,3,1,0,0,,,F1,2526
F1,22/02/2026,16:15,Nantes,Le Havre,2,0,H,2,0,H,,9,6,2,1,5,6,4,3,0,0,,,F1,2526
F1,22/02/2026,16:15,Nice,Lorient,3,3,D,2,1,H,,8,17,4,5,3,7,2,3,0,0,,,F1,2526
